ssuid|pnum|spanel|finyr4
00086013511618|101|2018|24567.874543
00086013511618|103|2018|26242.011218
00086013511618|104|2018|25446.857219
00086013591918|101|2018|27253.888265
00086013596718|101|2018|27813.736683
00086013596718|102|2018|26634.187019
00086013596718|103|2018|25598.390284
00086013596718|104|2018|25634.03458
00086013596718|105|2018|66045.89842
00086013615918|101|2018|12603.349269
00086013648018|101|2018|30310.812188
00086013648018|102|2018|22138.190377
00086013648918|101|2018|32601.682408
00086017217218|101|2018|9790.9212375
00086017217218|102|2018|11209.302102
00086017234818|102|2018|12830.3035
00086017234818|103|2018|33973.496496
00086017254518|101|2018|13102.518335
00086017258218|101|2018|25389.04099
00086017258218|102|2018|14145.490504
00086017258218|103|2018|50558.930306
00086020917318|101|2018|10003.161562
00086020978118|101|2018|16609.619058
00086022823518|101|2018|10799.481627
00086022823518|102|2018|13308.360773
00086022823518|103|2018|16217.989202
00086022823518|104|2018|14206.783476
00086022899518|101|2018|20821.661588
00086027402918|101|2018|14559.941359
00086027493318|101|2018|11431.043091
00086028506918|101|2018|9414.6418112
00086028521018|101|2018|5573.5150831
00086028522018|101|2018|10182.415418
00086028532418|101|2018|45398.484064
00086028538618|101|2018|7657.7247963
00086028538618|102|2018|8767.0760056
00086028584018|101|2018|24684.164599
00086028584018|102|2018|18950.891406
00086028586218|101|2018|30123.550662
00086028586218|102|2018|31487.925305
00086028586218|103|2018|29415.294654
00086028597918|101|2018|15153.742887
00086028597918|102|2018|12050.358358
00086030206018|101|2018|8636.4251955
00086030206018|102|2018|10141.880178
00086032006918|101|2018|7810.7913186
00086032006918|102|2018|6822.4446008
00086032027718|101|2018|7944.720922
00086032027718|102|2018|9790.9212375
00086032036518|101|2018|6666.7355422
00086032063818|101|2018|6138.4078832
00086032075918|101|2018|5616.7759596
00086032075918|102|2018|6675.6280764
00086032096418|101|2018|4726.1130815
00086032096418|102|2018|4726.1130815
00086033414918|101|2018|18174.672058
00086033419718|101|2018|13962.582493
00086033419718|102|2018|14222.864102
00086033429418|101|2018|18537.523485
00086033429418|102|2018|13456.172648
00086033436518|101|2018|11404.75742
00086033466018|101|2018|12012.494206
00086033466018|102|2018|16548.679872
00086033466018|103|2018|23931.992436
00086033498818|101|2018|10554.28676
00086033498818|102|2018|12460.140422
00086033498818|103|2018|15576.35746
00086033498818|104|2018|12483.753066
00086034275318|101|2018|15893.485931
00086034275318|102|2018|11982.042263
00086040006018|101|2018|7331.9831944
00086040014918|101|2018|6566.9802241
00086040014918|102|2018|6300.5535135
00086040019718|101|2018|9945.8055739
00086040019718|102|2018|9788.2269964
00086040025918|101|2018|31981.146117
00086040025918|103|2018|27243.336981
00086040025918|104|2018|33033.833241
00086040063018|102|2018|9788.2269964
00086040066018|101|2018|10487.714338
00086040066018|102|2018|10062.220864
00086040083118|101|2018|16325.197432
00086040083118|102|2018|20384.927527
00086040083118|103|2018|14759.719046
00086040094418|101|2018|6932.3637857
00086040601018|101|2018|33291.576429
00086040601018|102|2018|69312.002586
00086040601018|103|2018|45823.397715
00086040611018|101|2018|11533.088028
00086040616218|101|2018|24049.815564
00086040636518|101|2018|9991.0150098
00086040636518|102|2018|9772.2147884
00086040636518|103|2018|9426.9911533
00086040653918|101|2018|14192.517709
00086040653918|102|2018|14990.846816
00086040683018|101|2018|15880.466082
00086040683018|102|2018|14192.517709
00086040693218|101|2018|10275.669436
00086040806018|101|2018|7219.1790651
00086041854918|101|2018|9304.1393271
00086041877218|101|2018|9767.4997492
00086041895018|101|2018|14038.393352
00086041895018|102|2018|13468.846493
00086041895018|103|2018|20228.744866
00086043828418|102|2018|22168.696078
00086043863818|101|2018|13704.170124
00086043863818|102|2018|9157.2039791
00086043863818|103|2018|10378.460228
00086043863818|104|2018|14839.127321
00086043863818|105|2018|9902.6478535
00086047220718|101|2018|9634.3456999
00086047220718|102|2018|7147.6355111
00086047228418|101|2018|13271.955213
00086047294418|101|2018|7889.6078777
00086047294418|102|2018|9849.2354284
00086047294418|103|2018|14303.310979
00086047294418|104|2018|14046.002578
00086049468918|101|2018|9351.5452848
00086050806018|101|2018|21966.592146
00086050806018|103|2018|11570.566295
00086050806018|104|2018|19924.603075
00086050806018|105|2018|19219.415559
00086050814918|101|2018|10090.363727
00086050814918|102|2018|20647.114032
00086050814918|103|2018|14397.378346
00086052719418|101|2018|22292.548863
00086052719418|102|2018|111812.37442
00086052760218|101|2018|26445.994585
00086052760218|102|2018|25695.184147
00086052760218|103|2018|29443.307649
00086052760218|104|2018|24778.858739
00086052773018|101|2018|14338.623668
00086053373718|101|2018|5975.1072014
00086053373718|102|2018|5865.5214747
00086055215918|101|2018|23369.623312
00086055215918|102|2018|24684.164599
00086055232418|101|2018|22572.342513
00086055253718|101|2018|18863.699983
00086055259918|101|2018|22275.786814
00086055570518|101|2018|12061.272952
00086055998818|101|2018|36844.763714
00086059704018|101|2018|19434.650644
00086059704018|102|2018|18933.731713
00086059780418|101|2018|16527.755387
00086059780418|102|2018|21211.95506
00086060419618|101|2018|31785.515261
00086060419618|102|2018|42255.10281
00086060419618|103|2018|23027.887233
00086060419618|104|2018|22821.407042
00086060419618|105|2018|71893.799642
00086068897918|101|2018|20919.452846
00086068897918|102|2018|23471.851835
00086068897918|103|2018|24098.205917
00086068970518|101|2018|20708.25339
00086072660218|101|2018|33202.25742
00086072660218|102|2018|38510.172514
00086081026718|101|2018|17691.71183
00086081026718|102|2018|15813.190799
00086081030118|101|2018|15570.148716
00086081030118|102|2018|8709.1063875
00086081097218|101|2018|9546.924851
00086081097218|102|2018|8086.8239369
00086081606918|101|2018|14606.060315
00086081606918|102|2018|10177.697779
00086081627618|101|2018|15589.55973
00086081627618|102|2018|24684.164599
00086081627718|101|2018|5054.1285196
00086081637518|101|2018|24180.843191
00086081637518|102|2018|16479.516572
00086081640218|101|2018|7786.1432721
00086081699518|101|2018|19017.098267
00086081699518|102|2018|18370.107404
00086081699518|103|2018|21738.929099
00086082405818|101|2018|7835.7978651
00086082405818|102|2018|7844.2258998
00086082440218|101|2018|6837.3768793
00086082496418|101|2018|7810.7913186
00086082496418|102|2018|9576.5570441
00086084913818|101|2018|21340.349154
00086084913818|102|2018|11637.544949
00086084913818|104|2018|13762.956647
00086084913818|105|2018|14880.776089
00086084913818|106|2018|22221.504996
00086084944018|101|2018|8784.0984285
00086084950918|101|2018|45496.050744
00086086078118|101|2018|24314.35716
00086086196718|101|2018|42089.630592
00086086197218|101|2018|48106.63492
00086093223318|101|2018|11155.331208
00086093289418|101|2018|16831.445521
00086094536518|101|2018|11964.624418
00086094536518|102|2018|17528.771368
00086094536518|103|2018|16741.950426
00086096751918|101|2018|24798.547713
00086096751918|102|2018|26193.465996
00086096762618|101|2018|15200.766476
00086096762618|102|2018|16055.809575
00086098888318|101|2018|34363.404756
00086099501018|101|2018|43074.428919
00086099501018|102|2018|68633.118114
00086099509718|101|2018|14595.01138
00086099510518|101|2018|22414.690273
00086099510518|102|2018|29126.540082
00086099510518|103|2018|42147.759496
00086099510518|104|2018|38922.690364
00086099511018|101|2018|29309.461184
00086099511018|102|2018|26239.778483
00086099516218|101|2018|13692.230224
00086099561918|101|2018|23769.818081
00086099561918|102|2018|32811.657339
00086099577818|101|2018|17252.41239
00086099593218|101|2018|10180.623828
00086099593318|101|2018|11217.159443
00099509225918|101|2018|20873.923154
00099509225918|102|2018|14373.747713
00099509225918|103|2018|19202.043848
00099513614918|101|2018|22369.85381
00099513614918|102|2018|25549.358177
00099513614918|103|2018|70239.460096
00099513694418|101|2018|7641.8895322
00099518594618|101|2018|27428.694444
00099518594618|102|2018|37613.325789
00099518594618|103|2018|31865.963006
00099518594618|104|2018|31901.108716
00099518594618|105|2018|31901.108716
00099519928318|101|2018|10040.336374
00099519931618|101|2018|18968.978706
00099529428318|101|2018|17735.701445
00099529428318|102|2018|11857.082086
00099529429118|101|2018|25114.508753
00099529429118|102|2018|20360.209686
00099529429118|103|2018|19611.510301
00099529429118|104|2018|32376.018176
00099529429118|105|2018|16830.603679
00099529429118|106|2018|17503.108108
00099529429118|107|2018|65025.930765
00099529485218|101|2018|11425.641047
00099529485218|102|2018|11751.019585
00099529490518|101|2018|23183.407758
00099529490518|102|2018|27978.256561
00099529490518|103|2018|27566.289971
00099555219718|101|2018|16637.290537
00099555229418|101|2018|19923.694258
00099568985218|101|2018|19096.876845
00099568990518|101|2018|22693.230526
00099568990518|102|2018|13328.34497
00099568990518|103|2018|13817.033226
00099578399418|101|2018|24305.91685
00099581629418|101|2018|17402.252476
00099581629418|102|2018|20108.281088
00099581629418|103|2018|10591.72938
00099581629418|104|2018|18239.03847
00099581663018|101|2018|25344.490973
00099586014918|101|2018|13190.157907
00099586014918|102|2018|14605.597199
03811411446518|101|2018|4777.8852372
03811421536918|101|2018|8302.3623441
03811421536918|102|2018|11219.280635
03811421536918|103|2018|15481.977249
03811421536918|104|2018|13774.710908
03811428570518|101|2018|6247.4044572
03811428570518|102|2018|6711.5664809
03811428593218|101|2018|8970.5028923
03811428593218|102|2018|8679.5402274
03811434234318|101|2018|14382.568762
03811434234318|102|2018|14176.890872
03811434276518|101|2018|17437.977161
03811434276518|102|2018|24414.72334
03811440602718|101|2018|8699.2692698
03811440602718|102|2018|6045.4832598
03811440602718|103|2018|14324.82795
03811440602718|104|2018|21871.584248
03811440624018|101|2018|10612.598413
03811440624018|102|2018|9878.6467833
03811440629718|101|2018|10397.613092
03811440629718|102|2018|16474.229367
03811440662218|101|2018|14147.624695
03811441843118|101|2018|7418.8501742
03811441847718|101|2018|13756.869654
03811441877218|101|2018|8864.6977383
03811441877218|102|2018|13719.615104
03811441877218|103|2018|24350.993534
03811441877218|104|2018|15481.977249
03811486099418|101|2018|7106.6168998
03811496777218|101|2018|11351.251575
03811496777218|102|2018|13387.891552
03811499516718|101|2018|17551.902031
03811499516718|102|2018|18038.670267
03811499516718|103|2018|40247.958076
03811499519618|101|2018|8423.7474669
03811499519618|102|2018|10978.739552
03811499519618|103|2018|29690.285086
03811499524018|101|2018|13480.158947
03811499542018|101|2018|14713.790111
03811499542018|103|2018|13696.493067
03811499544018|101|2018|8989.8278228
03811499544018|102|2018|8368.1046101
03811499550218|101|2018|12064.1658
03811499550218|102|2018|8829.5371794
03811499559618|101|2018|8580.3141888
03811499577218|101|2018|6321.9678078
03811499577218|102|2018|22046.130514
03811499578818|101|2018|11351.251575
03811499578818|102|2018|14382.568762
03811499582818|101|2018|19753.169475
03812855011018|101|2018|22957.539916
03813333509218|101|2018|30184.160186
03827411427818|101|2018|15783.872722
03827411427818|102|2018|15511.453015
03827411456118|101|2018|14234.836844
03827411490118|101|2018|15687.590828
03827411490118|102|2018|22654.55739
03827427603118|101|2018|22440.091197
03827427603118|102|2018|16462.67901
03827427603118|103|2018|25456.402716
03827427603118|104|2018|42893.038648
03827428527818|101|2018|20519.896802
03827428527818|102|2018|20812.60221
03827440803118|101|2018|20776.52867
03827440803118|102|2018|19238.214999
03827440872418|101|2018|13071.993701
03827481611718|101|2018|35929.847521
03827481611718|102|2018|66843.330063
03827481611718|103|2018|19251.123994
03827481655518|101|2018|12055.59169
03827499534118|101|2018|20519.178141
03828502112718|101|2018|31639.868587
03828502112718|102|2018|29309.434754
03828502123218|101|2018|7646.0582081
03828502123218|102|2018|12758.601632
03828503467618|101|2018|12753.086285
03828503718918|101|2018|8019.9288293
03828503718918|102|2018|6725.5916502
03828503778418|101|2018|7240.2193606
03828503778418|102|2018|7240.2193606
03828504906718|101|2018|6530.9858135
03828504937318|101|2018|6829.8704982
03828504967618|101|2018|5178.0692284
03828504967618|102|2018|9356.8760581
03828505720718|101|2018|8172.7580984
03828505720718|102|2018|9356.8760581
03828505725918|101|2018|15576.88247
03828505725918|102|2018|13605.61918
03828505764618|101|2018|12927.528177
03828505764618|102|2018|10856.339558
03828505783118|101|2018|5736.2862641
03828505783118|102|2018|6567.3936461
03828505790518|101|2018|8817.387366
03828505790518|102|2018|5736.2862641
03828507342018|101|2018|6185.0345662
03828507344018|102|2018|12275.071897
03828513675118|101|2018|11484.62112
03828513675118|102|2018|9064.0848471
03828525638318|101|2018|6686.2108112
03828528532418|101|2018|11261.880346
03828528532418|102|2018|19658.6076
03828534433818|101|2018|21599.725416
03828555506718|101|2018|12552.635854
03828555506718|102|2018|13311.694208
03828555506718|103|2018|10104.534394
03828555506718|104|2018|10351.958545
03828555537318|101|2018|19819.786087
03828555547518|101|2018|38607.19489
03828555547518|102|2018|40724.800017
03828555547518|103|2018|45077.360319
03828555563118|101|2018|16509.505168
03828555563118|102|2018|16179.638501
03828555577718|101|2018|21144.388113
03828555581418|101|2018|19673.506286
03828559707418|101|2018|82115.272901
03828559718018|101|2018|15787.081122
03828559718018|102|2018|14560.380383
03828559718018|103|2018|16256.73973
03828559718018|104|2018|11153.078147
03828559768918|101|2018|24428.818168
03828559768918|102|2018|30935.043941
03828559768918|103|2018|23371.797156
03828559768918|104|2018|39851.575589
03828559788718|101|2018|16866.710964
03828559788718|102|2018|25086.873956
03828562501818|101|2018|8000.9680382
03828562501818|102|2018|6881.1432199
03828562501818|103|2018|15247.927707
03828562519818|101|2018|7193.5330405
03828562555218|101|2018|10831.10872
03828562555218|102|2018|9315.174111
03828562575118|101|2018|8643.5394694
03828581640118|101|2018|48350.699951
03828582447718|101|2018|9288.8973492
03828584701818|101|2018|27921.145528
03828584988218|101|2018|14340.956397
03828584988218|102|2018|32471.291248
03828584988718|101|2018|19139.757511
03828584988718|102|2018|18785.59466
03828584988718|103|2018|14550.307807
03828592950918|102|2018|40761.838466
03828592950918|103|2018|20239.241298
03828592950918|104|2018|18028.025901
03828594518918|101|2018|34511.878799
03828594567118|101|2018|22767.702751
03828594578418|101|2018|19219.33005
03828596729418|101|2018|8270.9128692
03828596729418|102|2018|11483.895831
03828596729418|104|2018|10874.590432
03828596765318|101|2018|51582.802793
03828596765318|102|2018|63371.853875
03828598828318|101|2018|9834.8304216
03833404660218|101|2018|114000.6694
03833406819418|101|2018|16610.727324
03833406819418|102|2018|20884.491855
03833406819418|103|2018|16895.508563
03833406819418|104|2018|16919.034593
03833406819418|105|2018|21680.741225
03833406819418|106|2018|43591.766119
03833406854718|101|2018|13980.218952
03833406854718|102|2018|27720.705198
03833406854718|103|2018|53884.116118
03837948401818|101|2018|23385.944877
03837948401818|102|2018|18083.483647
03838292555518|101|2018|19673.506286
03841803707118|101|2018|17500.159658
03841803707118|102|2018|21674.900799
03841803707118|104|2018|22274.352376
03841803744418|101|2018|33197.609315
03841803744418|102|2018|25890.799457
03841803762618|101|2018|27567.756907
03841803762618|102|2018|82858.734828
03841803762618|103|2018|53155.7839
03841803762618|104|2018|53155.7839
03841803783218|101|2018|22515.376016
03841803783218|102|2018|23248.112626
03841803783218|103|2018|46055.109976
03841803784818|101|2018|15340.935749
03841803784818|102|2018|16567.617704
03841804325818|101|2018|35929.847521
03841804325818|102|2018|15155.10823
03841804656818|101|2018|17866.889154
03841804656818|102|2018|35287.641984
03841804673018|101|2018|10197.524772
03841804673018|102|2018|13780.281738
03841804673018|103|2018|19016.014956
03841804673018|104|2018|16795.49336
03841804673018|105|2018|25572.711968
03841804697218|101|2018|30160.562447
03841804960218|101|2018|14926.782483
03841804960218|102|2018|9316.9001657
03841804960218|103|2018|13632.217495
03841804960218|104|2018|35490.439655
03841804981118|101|2018|53277.176411
03841804991918|101|2018|7985.3316373
03841804991918|102|2018|7433.077897
03841804991918|103|2018|27208.534715
03841804999418|101|2018|13287.95852
03841804999418|102|2018|13217.350084
03841805704018|101|2018|6247.4044572
03841805704018|102|2018|22982.646475
03841806811618|101|2018|10612.598413
03841806811618|102|2018|27127.623479
03841808644418|101|2018|23809.869173
03841809266818|101|2018|7240.2193606
03841809266818|102|2018|15356.678407
03841809266818|103|2018|10905.521198
03841811408118|101|2018|33175.652277
03841811424718|101|2018|13799.770189
03841811424718|102|2018|12778.02226
03841813602018|101|2018|41261.982299
03841813607118|101|2018|27096.392524
03841813644418|101|2018|13667.39225
03841813644418|102|2018|13449.149356
03841813675918|101|2018|20415.632456
03841813696018|101|2018|8633.5964182
03841817204918|101|2018|9140.1167955
03841817209818|101|2018|41997.630349
03841817213818|101|2018|6601.8222681
03841817219618|101|2018|9941.8079534
03841817219618|102|2018|9254.2472011
03841817242018|101|2018|9254.2472011
03841817242018|102|2018|8961.8405165
03841817244018|101|2018|5789.0439605
03841818515818|101|2018|18337.797789
03841818515818|102|2018|19804.112884
03841818547318|101|2018|19928.19046
03841818547318|102|2018|33319.868367
03841819944418|102|2018|10219.266132
03841819969918|101|2018|14390.74067
03841819969918|102|2018|14596.016928
03841819983218|101|2018|10339.659445
03841819983218|102|2018|11166.432588
03841820416718|101|2018|9941.8079534
03841820416718|102|2018|8922.8361893
03841820900318|101|2018|10831.10872
03841820900318|102|2018|9315.174111
03841820988418|101|2018|12296.980533
03841820989918|101|2018|10529.721086
03841820989918|102|2018|10377.301011
03841821553618|101|2018|21459.787678
03841821553618|102|2018|11597.871524
03841821553618|103|2018|21695.636388
03841827429718|101|2018|24336.075071
03841827626718|101|2018|24961.849628
03841827626718|102|2018|19560.603301
03841827626718|103|2018|25903.213229
03841827626718|104|2018|25426.228709
03841827626718|105|2018|119044.26742
03841827691918|101|2018|20616.427496
03841827691918|102|2018|15088.777467
03841828501818|101|2018|47145.707584
03841828502318|101|2018|8679.5402274
03841828502318|102|2018|8079.2760465
03841828509818|101|2018|52093.306779
03841828519618|101|2018|15863.308814
03841828519618|102|2018|17041.901551
03841828525318|101|2018|11563.840254
03841828525318|102|2018|10455.518659
03841828525318|103|2018|21608.82867
03841828525318|104|2018|12343.599921
03841828525318|105|2018|51501.628366
03841828536618|101|2018|15468.173554
03841828536618|102|2018|15619.33209
03841828536618|103|2018|15542.258335
03841828536618|104|2018|17638.751735
03841828555418|101|2018|16825.940766
03841828555418|102|2018|12588.861674
03841828574618|101|2018|6110.6575139
03841828580418|101|2018|5738.8081703
03841828580418|102|2018|8257.9730049
03841828580418|103|2018|11533.305477
03841832002318|101|2018|7868.0384988
03841832002318|102|2018|10750.429954
03841832002318|103|2018|13435.644557
03841832002318|105|2018|13344.369118
03841832053818|101|2018|9972.7785286
03841833456518|101|2018|15666.764353
03841833456518|102|2018|13609.492235
03841833456518|104|2018|21443.968931
03841834417718|101|2018|6422.5025005
03841834417718|102|2018|5475.1375364
03841834426718|101|2018|10036.523807
03841834454718|101|2018|23433.286593
03841834460218|101|2018|11356.77021
03841834473018|101|2018|6262.6771966
03841835942018|101|2018|11051.428827
03841835942018|102|2018|11872.514384
03841835958418|101|2018|8216.8127461
03841835958418|102|2018|8827.2954608
03841840617718|101|2018|10831.10872
03841840619618|101|2018|17198.13899
03841840619618|102|2018|27863.269123
03841840619618|103|2018|20254.61285
03841840619618|104|2018|33644.145967
03841840629718|101|2018|4507.6815447
03841840650518|101|2018|10899.782991
03841840650518|102|2018|10794.298631
03841840650518|103|2018|16243.759309
03841840650518|104|2018|15970.925822
03841840650518|105|2018|42159.771167
03841840651018|101|2018|10329.57954
03841840651018|102|2018|8883.8395396
03841840651018|104|2018|15576.255874
03841840699918|101|2018|8982.8851149
03841840699918|102|2018|17971.249576
